p,ER,BA
0.01,0.00026,0.00023
0.02,0.000385,0.000705
0.03,0.0007999999999999998,0.00938
0.04,0.000825,0.006684999999999999
0.05,0.001855,0.035109999999999995
0.06,0.002895,0.07110999999999999
0.07,0.00586,0.078045
0.08,0.009505,0.13203
0.09,0.011199999999999998,0.126615
0.1,0.01678,0.23126500000000005
0.11,0.038494999999999994,0.326965
0.12,0.035805000000000003,0.34542999999999996
0.13,0.062175,0.5022800000000001
0.14,0.09426500000000002,0.5461099999999999
0.15,0.12493000000000001,0.5290950000000001
0.16,0.11670499999999998,0.668525
0.17,0.22003999999999996,0.63972
0.18,0.298055,0.785535
0.19,0.3527550000000001,0.797315
0.2,0.40343,0.86919
0.21,0.418105,0.8949349999999999
0.22,0.602055,0.9107350000000002
0.23,0.634825,0.94296
0.24,0.6507350000000001,0.9690100000000001
0.25,0.7477600000000001,0.9793350000000001
0.26,0.74319,0.9813999999999998
0.27,0.711585,0.9867100000000001
0.28,0.8234600000000001,0.9880549999999999
0.29,0.89284,0.974245
0.3,0.940165,0.9484950000000001
0.31,0.9425799999999999,0.9956900000000001
0.32,0.893505,0.998985
0.33,0.9566250000000001,0.9982800000000001
0.34,0.97514,0.998465
0.35,0.9819350000000002,0.9989149999999999
0.36,0.991595,0.9988699999999999
0.37,0.99437,0.9996550000000001
0.38,0.99484,0.974035
0.39,0.9960800000000001,0.99992
